Time,Elapsed Time (s),Current (A),Voltage (V),Resistance (Ohms),MFC 1 Flow Rate,MFC 2 Flow Rate,MFC 3 Flow Rate,Cycle
2024-10-01 14:01:39.540,0.58,0.999994,0.002037394,0.0020374062244373466,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:40.226,1.569,0.9999942,0.002037182,0.0020371938157241307,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:40.921,2.251,0.9999925,0.002036749,0.002036764275732068,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:41.612,2.946,0.9999939,0.00203624,0.002036252421139769,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:42.302,3.64,0.9999942,0.002035714,0.002035725807209682,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:42.998,4.323,0.9999927,0.002035112,0.002035126856426052,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:43.712,5.018,0.9999923,0.002034551,0.0020345666661633296,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:44.431,5.742,0.9999917,0.002033921,0.002033937881684418,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:45.122,6.456,0.9999939,0.002033294,0.0020333064031690597,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:45.823,7.139,0.9999932,0.002032701,0.0020327148224607927,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:46.510,7.848,0.999993,0.002032101,0.0020321152248065737,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:47.207,8.539,0.9999945,0.002031541,0.0020315521735369546,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:47.928,9.232,0.9999931,0.002030954,0.0020309680136792944,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:48.620,9.958,0.9999948,0.002030336,0.0020303465578021007,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:49.323,10.644,0.9999943,0.002029775,0.002029786569783448,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:50.042,11.348,0.9999933,0.002029239,0.002029252595992393,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:50.744,12.067,0.9999945,0.002028725,0.0020287361580488693,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:51.438,12.77,0.999993,0.00202823,0.002028244197709384,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:52.147,13.466,0.9999928,0.002027685,0.002027699599437116,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:52.847,14.176,0.9999942,0.002027215,0.002027226757915196,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:53.555,14.892,0.9999939,0.002026754,0.0020267663632748158,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:54.246,15.58,0.9999944,0.002026251,0.002026262347069144,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:54.940,16.267,0.9999931,0.002025793,0.002025806978068149,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:55.632,16.968,0.9999937,0.002025375,0.0020253877599428873,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:56.323,17.653,0.9999942,0.002024922,0.002024933744615719,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:57.026,18.348,0.9999943,0.002024468,0.0020244795395333755,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:57.718,19.053,0.9999939,0.002024069,0.002024081346896216,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:58.409,19.743,0.9999915,0.002023638,0.002023655201069209,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:59.115,20.439,0.9999933,0.002023252,0.0020232655558792244,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:01:59.824,21.139,0.9999933,0.00202289,0.002022903553453808,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:02:00.527,21.852,0.9999937,0.002022506,0.0020225187418680735,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:02:01.231,22.552,0.9999943,0.002022128,0.0020221395261952996,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:02:01.918,23.255,0.9999924,0.002021743,0.0020217583653635764,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:02:02.615,23.942,0.9999945,0.002021379,0.0020213901176456468,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:02:03.301,24.644,0.9999936,0.002021006,0.002021018934521181,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:02:04.000,25.322,0.999995,0.002020642,0.0020206521032605164,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:02:04.683,26.02,0.9999938,0.002020306,0.002020318525974861,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:02:05.374,26.705,0.9999927,0.002019961,0.0020199757458229444,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:02:06.070,27.395,0.9999936,0.002019612,0.002019624925599524,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:02:06.777,28.094,0.9999934,0.002019317,0.002019330327580162,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:02:07.472,28.797,0.9999931,0.002018964,0.0020189779309477233,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:02:08.162,29.493,0.9999946,0.002018681,0.0020186919009362652,1000.0,0.0,0.0,Pre-Cycle
2024-10-01 14:02:09.408,30.19,0.9999931,0.002017733,0.002017746922453765,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:10.102,31.437,0.9999942,0.002019398,0.002019409712576333,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:10.824,32.126,0.9999948,0.00202322,0.0020232305207987084,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:11.527,32.844,0.9999942,0.002026167,0.002026178751836761,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:12.220,33.548,0.9999936,0.002028293,0.0020283059811582794,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:12.903,34.252,0.9999962,0.002029793,0.00202980071324271,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:13.585,34.928,0.9999933,0.002030877,0.0020308906069670665,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:14.279,35.609,0.999993,0.002031724,0.002031738222167555,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:14.972,36.299,0.9999936,0.002032447,0.0020324600077440496,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:15.679,37.001,0.9999932,0.002033071,0.0020330848249768096,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:16.351,37.701,0.9999919,0.00203359,0.002033606472212425,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:17.021,38.368,0.9999939,0.002034032,0.0020340444076708867,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:17.720,39.045,0.9999938,0.002034434,0.002034446613569004,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:18.417,39.74,0.9999936,0.0020348,0.0020348130228033455,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:19.107,40.438,0.9999938,0.002035116,0.00203512861779743,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:19.789,41.124,0.9999932,0.002035432,0.002035445841031719,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:20.508,41.818,0.999994,0.002035681,0.002035693214159285,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:21.194,42.537,0.999994,0.002035934,0.002035946215677294,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:21.887,43.214,0.9999933,0.002036188,0.002036201642551005,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:22.584,43.916,0.9999933,0.002036389,0.0020364026438977143,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:23.268,44.606,0.9999945,0.002036602,0.002036613201372608,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:23.944,45.292,0.9999938,0.002036785,0.0020367976281452944,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:24.630,45.965,0.9999936,0.002036109,0.002036122031180999,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:25.338,46.659,0.9999942,0.002035418,0.002035429805492872,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:26.050,47.364,0.9999933,0.002034285,0.0020342986298008195,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:26.762,48.084,0.999994,0.002033081,0.0020330931985591914,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:27.479,48.784,0.9999934,0.002031789,0.002031802409895905,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:28.164,49.508,0.9999934,0.002030627,0.0020306404022266545,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:28.851,50.187,0.9999936,0.002029327,0.0020293399877759216,1392.3284912109375,0.0,1000.0,Run-On Cycle
2024-10-01 14:02:29.537,50.867,0.9999956,0.002028104,0.0020281129236968645,1392.3284912109375,0.0,1000.0,Run-On Cycle
