Time,Elapsed Time (s),Voltage (V),Relay 1 Resistance,Relay 2 Resistance,Relay 3 Resistance,Relay 4 Resistance,Relay 5 Resistance,Relay 6 Resistance,Relay 7 Resistance,Relay 8 Resistance,MFC A Flow Rate,MFC B Flow Rate,MFC C Flow Rate,Cycle
2024-10-18 13:37:02.110,0.341,1.0,12163499.818398947,0.9999610015209408,72724416.64109191,94565509.31092006,-26518938.499929726,12181003.87063579,-11319818.375778124,34338583.93174039,1000.0,0.0,0.0,Pre-Cycle
2024-10-18 13:37:03.631,1.873,1.0,-13692766.631713597,0.9999530022088963,14235787.345808627,-12855621.853425857,15658362.097744508,85325760.95646766,-34552972.64406603,-14497670.22439494,1000.0,0.0,0.0,Pre-Cycle
2024-10-18 13:37:05.166,3.393,1.0,-13364797.630902512,0.9999440031358243,16497719.025367554,-16066742.533824911,698480595.1613455,14173934.587858835,-17034646.25598065,35163821.210254334,1000.0,0.0,0.0,Pre-Cycle
2024-10-18 13:37:06.709,4.928,1.0,89519504.06194751,0.9999820003239941,12113160.173286024,-11365603.387949983,13587322.050239937,-14977169.551594028,37717929.481804684,-13958715.42408741,1000.0,0.0,0.0,Pre-Cycle
2024-10-18 13:37:08.251,6.501,1.0,17215707.129144832,0.9999890001209987,-17892240.403720513,13510457.228999818,-16968119.44877367,226368641.7858856,-11378206.93340142,12193093.73416422,1000.0,0.0,0.0,Pre-Cycle
2024-10-18 13:37:09.787,8.012,1.0,-16265946.931046862,0.9999610015209408,12052512.798262028,11305757.30993524,-13298894.516094455,19378808.420324806,-2043200616.5562181,-106714827.7798759,1000.0,0.0,0.0,Pre-Cycle
2024-10-18 13:37:11.364,9.549,1.0,12888345.17256721,0.9999830002889951,-13873481.61680445,16632437.11109204,-17665044.95665616,-45672235.93911708,25844294.32929663,-17602633.917318314,1000.0,0.0,0.0,Pre-Cycle
2024-10-18 13:37:13.222,11.125,1.0,53308654.979987934,0.9999730007289803,-12500135.938978337,11697178.757455489,-14435749.151141861,18381761.61612448,48412482.09343319,-14121126.50439421,950.0,0.0,49.999996185302734,Run-On Cycle (Repeat 1)
2024-10-18 13:37:14.755,12.984,1.0,13544225.961030552,0.9999730007289803,-15675104.000396268,13390462.402125763,-18994961.396539953,-1274873742.8788738,-17743530.398304995,12592510.881188652,950.0,0.0,49.999996185302734,Run-On Cycle (Repeat 1)
2024-10-18 13:37:16.271,14.518,1.0,11476191.722177006,0.9999940000359998,-2486485330.6068196,81667053.22405192,103780064.30627905,-24837981.844428793,11502046.501623802,-12255394.579586042,950.0,0.0,49.999996185302734,Run-On Cycle (Repeat 1)
2024-10-18 13:37:17.812,16.033,1.0,-22541479.703877088,0.9999390037207729,33702374.33227171,-50721847.979520544,16466640.89088479,-13305777.954241963,11171991.014144188,-13961285.912615754,950.0,0.0,49.999996185302734,Run-On Cycle (Repeat 1)
2024-10-18 13:37:19.347,17.574,1.0,-13276153.823890757,0.9999580017639258,-13876047.763021527,36774440.29301874,-11507380.546197819,-29114709.042155188,11761660.304196525,-12233065.339493254,950.0,0.0,49.999996185302734,Run-On Cycle (Repeat 1)
2024-10-18 13:37:20.844,19.11,1.0,-11529634.273083076,0.999997000009,-202867697.19399488,-107825325.99100369,-62194817.80339099,42204332.274707995,-11156950.060264265,11913445.955903335,950.0,0.0,49.999996185302734,Run-On Cycle (Repeat 1)
2024-10-18 13:37:22.392,20.604,1.0,-243946587.40679407,0.9999810003609931,-12442131.645715777,11355751.858652685,13588564.624971244,-17504830.02022333,25328805.893709186,12741926.174044263,950.0,0.0,49.999996185302734,Run-On Cycle (Repeat 1)
2024-10-18 13:37:24.260,22.153,1.0,24538835.529191032,0.9999890001209987,69624258.76273514,-18559721.099359095,-25117405.030463647,13888950.6175583,-23035078.97000948,-67638999.83563723,1000.0,0.0,0.0,Off Cycle (Repeat 1)
2024-10-18 13:37:25.791,24.02,1.0,709577666.4686944,0.9999110079202951,-11948424.863047153,11291584.506274903,-12685649.72663059,11940135.979044585,-11291589.606272433,13754688.973471055,1000.0,0.0,0.0,Off Cycle (Repeat 1)
